SITE_CODE,SWN,LONGITUDE,LATITUDE,WSE_m,year,date_long
341142N1177258W001,01S08W04L001S,-117.726,34.1142,365.44910400000003,2017.0,2017-10-01 00:30:00
334817N1176783W001,08S08W12A002S,-117.678,33.4817,10.076688,2017.0,2017-10-01 01:00:00
341416N1176876W001,,-117.68799999999999,34.1416,476.60356800000005,2017.0,2017-10-01 02:45:00
341039N1177292W001,01S08W09E002S,-117.729,34.1039,317.674752,2017.0,2017-10-01 06:00:00
335029N1170760W001,,-117.07600000000001,33.5029,270.56791200000004,2017.0,2017-10-01 07:03:00
334903N1170642W001,,-117.064,33.4903,326.31888,2017.0,2017-10-01 07:18:00
335301N1171533W001,,-117.15299999999999,33.5301,239.764824,2017.0,2017-10-01 07:24:00
334961N1170329W001,,-117.03299999999999,33.4961,338.59622400000006,2017.0,2017-10-01 07:47:00
334798N1171017W001,08S02W17J001S,-117.102,33.4798,293.22979200000003,2017.0,2017-10-01 08:00:00
334798N1171015W001,,-117.102,33.4798,309.862728,2017.0,2017-10-01 08:18:00
335553N1172322W001,,-117.23200000000001,33.5553,262.40232000000003,2017.0,2017-10-01 08:22:00
335542N1172157W001,07S03W20C009S,-117.21600000000001,33.5542,310.2864,2017.0,2017-10-01 08:32:00
335174N1170339W001,,-117.03399999999999,33.5174,319.78092000000004,2017.0,2017-10-01 08:38:00
335303N1171876W001,,-117.18799999999999,33.5303,310.639968,2017.0,2017-10-01 09:13:00
341006N1177096W001,,-117.71,34.1006,318.832992,2017.0,2017-10-01 09:15:00
373457N1205429W001,07S13E09A001M,-120.541,37.3461,22.384512,2017.0,2017-10-01 10:00:00
334728N1171101W001,08S02W20C001S,-117.11,33.4728,305.88813600000003,2017.0,2017-10-01 10:18:00
334694N1171156W001,,-117.116,33.4694,295.22928,2017.0,2017-10-01 10:23:00
335412N1170712W001,,-117.071,33.5412,313.21247999999997,2017.0,2017-10-01 10:38:00
335378N1170434W001,07S02W25C001S,-117.04299999999999,33.5378,428.00320800000003,2017.0,2017-10-01 10:59:00
334686N1176782W002,,-117.678,33.4686,2.14884,2017.0,2017-10-01 11:00:00
341019N1177576W001,01S08W07G002S,-117.758,34.1019,262.75588799999997,2017.0,2017-10-01 11:00:00
335045N1176466W001,08S07W06J004S,-117.647,33.5045,28.867608,2017.0,2017-10-01 11:00:00
334996N1171201W001,,-117.12,33.4996,259.08000000000004,2017.0,2017-10-01 11:27:00
341219N1176980W001,,-117.698,34.1219,381.905256,2017.0,2017-10-01 11:30:00
341514N1176794W001,,-117.679,34.1514,568.659264,2017.0,2017-10-01 11:30:00
335299N1170854W001,,-117.085,33.5299,252.0696,2017.0,2017-10-01 11:34:00
335089N1171459W001,08S03W01P002S,-117.146,33.5089,225.85375200000001,2017.0,2017-10-01 11:44:00
344211N1172401W001,04N03W19M001S,-117.238,34.42,853.9551120000001,2017.0,2017-10-01 12:00:00
348565N1166817W001,09N03E20J004S,-116.682,34.8565,512.2986960000001,2017.0,2017-10-01 12:00:00
334890N1176668W001,08S08W12L001S,-117.667,33.489000000000004,9.470136,2017.0,2017-10-01 12:00:00
334631N1171048W002,08S02W20J002S,-117.105,33.4631,305.54676,2017.0,2017-10-01 12:00:00
348348N1166615W001,09N03E34D007S,-116.662,34.8348,519.903456,2017.0,2017-10-01 12:00:00
334721N1171186W005,08S02W19A005S,-117.119,33.4721,302.587152,2017.0,2017-10-01 12:00:00
344298N1168908W001,04N01E16N002S,-116.891,34.4298,875.73612,2017.0,2017-10-01 12:00:00
344298N1168921W001,04N01E16N001S,-116.89200000000001,34.4298,875.0838480000001,2017.0,2017-10-01 12:00:00
