API,lon,lat,porosity,depth_m
3007192,-119.73758,35.61775,0.66,577.1388
3007192,-119.73758,35.61775,0.648,519.684
3002808,-119.771849,35.673545,0.633,51.816
3007192,-119.73758,35.61775,0.622,568.26912
3018564,-119.789922,35.689024,0.618,277.368
3012654,-119.761961,35.653615,0.612,35.2044
2980686,-119.77397,35.671468,0.611,243.84
3007192,-119.73758,35.61775,0.606,568.63488
3007192,-119.73758,35.61775,0.601,571.5
3038131,-119.794049,35.68888294,0.599,77.1144
3007192,-119.73758,35.61775,0.595,573.024
3021535,-119.781572,35.68366,0.595,823.5696
3021535,-119.781572,35.68366,0.595,826.6176
3007192,-119.73758,35.61775,0.594,568.9092
3007192,-119.73758,35.61775,0.594,541.02
3007192,-119.73758,35.61775,0.593,591.312
3007192,-119.73758,35.61775,0.589,537.972
3007192,-119.73758,35.61775,0.588,568.02528
3003280,-119.771291,35.670319,0.587,322.326
3012654,-119.761961,35.653615,0.583,211.43976
3012654,-119.761961,35.653615,0.583,322.326
3021535,-119.781572,35.68366,0.583,869.8992
3043481,-119.795307,35.692463,0.581,185.928
3003280,-119.771291,35.670319,0.58,138.2268
3007192,-119.73758,35.61775,0.58,544.068
3007192,-119.73758,35.61775,0.58,547.116
3012654,-119.761961,35.653615,0.58,325.0692
3043481,-119.795307,35.692463,0.578,165.8112
3016932,-119.753739,35.645631,0.576,152.5524
3007192,-119.73758,35.61775,0.575,627.888
3016932,-119.753739,35.645631,0.574,151.9428
3016932,-119.753739,35.645631,0.574,152.2476
3042317,-119.793996,35.68973,0.574,164.592
2980686,-119.77397,35.671468,0.573,71.4756
3016932,-119.753739,35.645631,0.573,151.638
3016930,-119.753634,35.650313,0.572,100.584
3043485,-119.79702,35.69292,0.57,190.5
3024045,-119.77015,35.664272,0.569,388.9248
3042318,-119.792287,35.689902,0.569,187.1472
3003280,-119.771291,35.670319,0.567,222.8088
3016932,-119.753739,35.645631,0.567,151.3332
3043485,-119.79702,35.69292,0.567,149.352
3003280,-119.771291,35.670319,0.566,221.68104
3007192,-119.73758,35.61775,0.566,626.364
